[-0.07468565],[-0.14733456],[1.7573282]
[-0.07468101],[-0.14770442],[1.7572321]
[-0.07468101],[-0.14770442],[1.7572321]
[-0.07468101],[-0.14770442],[1.7572321]
[-0.07468101],[-0.14770442],[1.7572321]
[-0.07468101],[-0.14770442],[1.7572321]
[-0.07468101],[-0.14770442],[1.7572321]
[-0.07468101],[-0.14770442],[1.7572321]
[-0.07468101],[-0.14770442],[1.7572321]
[-0.07465731],[-0.14731964],[1.7570573]
[-0.07465731],[-0.14731964],[1.7570573]
[-0.07465731],[-0.14731964],[1.7570573]
[-0.07468101],[-0.14770442],[1.7572321]
[-0.07468101],[-0.14770442],[1.7572321]
[-0.07465731],[-0.14731964],[1.7570573]
[-0.07468565],[-0.14733456],[1.7573282]
[-0.07466334],[-0.14695103],[1.7571684]
[-0.07468101],[-0.14770442],[1.7572321]
[-0.07464981],[-0.14768688],[1.7569301]
[-0.07468101],[-0.14770442],[1.7572321]
[-0.07468101],[-0.14770442],[1.7572321]
[-0.07465731],[-0.14731964],[1.7570573]
[-0.07468565],[-0.14733456],[1.7573282]
[-0.07468101],[-0.14770442],[1.7572321]
[-0.07468101],[-0.14770442],[1.7572321]
[-0.07541535],[-0.1476838],[1.7570596]
[-0.07539163],[-0.14729907],[1.756885]
[-0.0764541],[-0.14791419],[1.7642888]
[-0.07541535],[-0.1476838],[1.7570596]
[-0.07541535],[-0.1476838],[1.7570596]
[-0.07541535],[-0.1476838],[1.7570596]
[-0.07615437],[-0.14729342],[1.7569839]
[-0.07613196],[-0.14691],[1.7568244]
[-0.0764541],[-0.14791419],[1.7642888]
[-0.0764541],[-0.14791419],[1.7642888]
[-0.0764541],[-0.14791419],[1.7642888]
[-0.0764541],[-0.14791419],[1.7642888]
[-0.0764541],[-0.14791419],[1.7642888]
[-0.07647804],[-0.14830063],[1.764465]
[-0.0764541],[-0.14791419],[1.7642888]
[-0.0764541],[-0.14791419],[1.7642888]
[-0.0764541],[-0.14791419],[1.7642888]
[-0.0764541],[-0.14791419],[1.7642888]
[-0.0764541],[-0.14791419],[1.7642888]
[-0.0764541],[-0.14791419],[1.7642888]
[-0.07612578],[-0.14727847],[1.7567124]
[-0.07826564],[-0.14851364],[1.771579]
[-0.07580639],[-0.14628123],[1.7493114]
[-0.07686596],[-0.1468894],[1.756651]
[-0.07686596],[-0.1468894],[1.756651]
[-0.07719746],[-0.14752345],[1.7642273]
[-0.07719746],[-0.14752345],[1.7642273]
[-0.07793451],[-0.14750277],[1.764053]
[-0.07719117],[-0.14789343],[1.7641143]
[-0.07686596],[-0.1468894],[1.756651]
[-0.07719117],[-0.14789343],[1.7641143]
[-0.07719746],[-0.14752345],[1.7642273]
[-0.07686596],[-0.1468894],[1.756651]
[-0.07686596],[-0.1468894],[1.756651]
[-0.07721534],[-0.14827992],[1.7642915]
[-0.21349986],[-0.08857931],[1.5770166]
[-0.26540866],[-0.08191466],[1.7885826]
[-0.2526636],[-0.08517726],[1.7464867]
[-0.07719117 -0.25127804  0.43470445],[-0.14789343 -0.08633272 -0.31343195],[1.7641143 1.7470992 1.6370873]
[-0.07686596 -0.24891019  0.4411422 ],[-0.1468894  -0.08859857 -0.30613562],[1.756651  1.7405026 1.6501158]
[-0.07719746 -0.24789251  0.44481   ],[-0.14752345 -0.08932593 -0.30056462],[1.7642273 1.7331644 1.6638453]
[-0.07719746 -0.2497001   0.4478139   0.17545149],[-0.14752345 -0.09044047 -0.29527673  0.14379315],[1.7642273 1.7405107 1.6779178 1.5787786]
[-0.07719746 -0.24972686  0.44894823  0.17612383],[-0.14752345 -0.09118444 -0.292772    0.14468767],[1.7642273 1.7405877 1.6849896 1.5848203]
[-0.07613196],[-0.14691],[1.7568244]
[-0.07686596 -0.2559414   0.47531992  0.17680891],[-0.1468894  -0.09940826 -0.30702668  0.14490828],[1.756651  1.7946258 1.7749677 1.5909933]
[-0.07686596 -0.24779417  0.52320313  0.18024737],[-0.1468894  -0.12859477 -0.3092718   0.14413057],[1.756651  1.8506374 1.8534524 1.5974764]
[-0.22233875  0.5447669   0.18366021],[-0.15487483 -0.28703198  0.14223787],[1.8295561 1.8045988 1.5916358]
[-0.19769102  0.53449744],[-0.16551039 -0.26361948],[1.7439069 1.6909044]
[-0.18803518  0.5059215 ],[-0.15897219 -0.25652707],[1.6385232 1.5863335]
[-0.19991861  0.48788628],[-0.15097354 -0.26845434],[1.606174  1.5635021]
[-0.21932779  0.5021415 ],[-0.15670054 -0.29116553],[1.6447034 1.6309195]
[-0.22096278  0.53381175],[-0.1771507 -0.2973549],[1.6648242 1.6761626]
[-0.20514691],[-0.18811122],[1.5973663]
[-0.19664368],[-0.18248418],[1.5139536]
[-0.20438209],[-0.18066554],[1.4755404]
[-0.18309005],[-0.17667769],[1.4223899]
[-0.18490396],[-0.16702427],[1.4054704]
[-0.19775473],[-0.1488544],[1.3936931]
[-0.21832623],[-0.12294433],[1.4084165]
[-0.07653725],[-0.14626072],[1.749139]
[-0.07466334],[-0.14695103],[1.7571684]
[-0.07832716],[-0.1472165],[1.7561909]
[-0.07679149],[-0.14818378],[1.7720437]
[-0.07475559  0.12691522],[-0.14567806  0.21629803],[1.7420326 1.2965714]
[-0.0790121],[-0.14812131],[1.7715175]
[-0.07539774],[-0.14693053],[1.7569968]
[-0.07762253  0.1266837 ],[-0.14725226  0.21768782],[1.7566384 1.288267 ]
[-0.07827204],[-0.14814216],[1.7716932]
[-0.07615437],[-0.14729342],[1.7569839]
[-0.07793451],[-0.14750277],[1.764053]
[-0.07642869],[-0.1475266],[1.7640972]
[0.52888376 0.15554132],[0.08372494 0.21154839],[1.682571  1.3331988]
[0.5304066  0.15597975],[0.08482888 0.2137832 ],[1.6898345 1.3417966]
